county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,89,10,16,479.5
Atkinson,20,1,5,240.1
Bacon,35,1,4,306.91
Baker,31,2,9,994.87
Baldwin,271,12,57,609.98
Banks,35,0,8,175.16
Barrow,192,5,54,222.27
Bartow,361,31,125,325.9
Ben Hill,39,0,4,234.3
Berrien,19,0,1,98.57
Bibb,384,15,105,252.38
Bleckley,26,0,0,202.52
Brantley,23,2,2,119.78
Brooks,64,7,6,406.94
Bryan,59,4,18,150.75
Bulloch,42,2,9,52.85
Burke,101,4,19,452.06
Butts,171,17,19,679.27
Calhoun,113,5,9,1788.82
Camden,35,1,6,64.91
Candler,7,0,1,64.59
Carroll,390,17,80,324.68
Catoosa,52,0,5,75.61
Charlton,17,0,4,128.29
Chatham,291,12,75,99.6
Chattahoochee,12,0,4,111.64
Chattooga,16,2,3,64.6
Cherokee,578,17,102,216.79
Clarke,180,13,32,138.7
Clay,27,3,5,945.71
Clayton,888,34,147,291.3
Clinch,16,0,4,240.38
Cobb,2072,113,521,262.08
Coffee,171,9,50,397.29
Colquitt,202,10,13,445
Columbia,178,5,29,112.21
Cook,31,1,5,177.78
Coweta,257,4,41,169.08
Crawford,19,0,4,155.38
Crisp,182,6,36,816.55
Dade,16,1,3,99
Dawson,75,1,13,277.56
DeKalb,2445,69,446,308.26
Decatur,109,2,12,414.1
Dodge,32,1,7,156.98
Dooly,140,12,34,1044.78
Dougherty,1583,126,330,1760.75
Douglas,398,11,105,262
Early,224,26,13,2207.77
Echols,6,0,0,151.17
Effingham,37,1,11,57.79
Elbert,37,0,4,195.3
Emanuel,23,1,3,101.48
Evans,5,0,0,46.79
Fannin,34,1,5,129.18
Fayette,190,12,36,161.64
Floyd,155,12,40,155.13
Forsyth,364,10,47,144.15
Franklin,26,1,5,111.45
Fulton,3317,144,625,301.77
Gilmer,89,0,14,283.29
Glascock,1,0,0,33.06
Glynn,72,1,10,83.68
Gordon,121,15,31,208.44
Grady,83,4,22,338.22
Greene,57,5,17,304.54
Gwinnett,2323,87,424,239.2
Habersham,386,16,59,842.79
Hall,1997,28,249,967.78
Hancock,119,3,15,1452.46
Haralson,32,2,8,104.16
Harris,62,2,11,178.61
Hart,15,0,0,57.46
Heard,14,1,4,113.18
Henry,566,14,72,235.97
Houston,284,15,82,180.85
Irwin,21,1,3,222.62
Jackson,122,3,22,163.32
Jasper,26,0,4,183.11
Jeff Davis,24,1,4,158.44
Jefferson,17,1,3,111.02
Jenkins,17,1,4,198.23
Johnson,65,2,10,672.81
Jones,31,0,4,108.43
Lamar,39,1,5,201.58
Lanier,10,2,4,96.61
Laurens,77,1,16,162.8
Lee,339,22,50,1131.09
Liberty,43,0,11,69.46
Lincoln,12,0,5,147.69
Long,5,0,2,25.11
Lowndes,183,4,33,155.25
Lumpkin,76,1,14,224.84
Macon,81,4,29,623.65
Madison,28,1,5,92.79
Marion,39,1,9,470.28
McDuffie,50,4,16,231.51
McIntosh,6,0,2,41.19
Meriwether,62,1,10,294.96
Miller,31,0,1,537.82
Mitchell,341,31,72,1546.06
Monroe,34,4,7,122.62
Montgomery,4,0,1,43.37
Morgan,30,0,4,156.76
Murray,45,1,6,111.77
Muscogee,363,12,75,189.43
Newton,240,8,39,213.61
Non-Georgia Resident,1088,22,73,0
Oconee,66,0,10,158.13
Oglethorpe,56,4,10,367.45
Paulding,221,10,55,128.08
Peach,62,2,16,226.48
Pickens,32,2,8,95.44
Pierce,59,3,16,301.87
Pike,41,2,7,217.39
Polk,65,0,10,149.49
Pulaski,33,1,5,302.95
Putnam,54,6,11,246.74
Quitman,6,1,3,261.55
Rabun,13,1,5,76.53
Randolph,167,21,28,2472.61
Richmond,441,16,120,218.06
Rockdale,228,7,54,240.1
Schley,15,1,7,284.36
Screven,17,1,7,122.3
Seminole,34,2,8,417.69
Spalding,227,11,38,328.46
Stephens,91,1,22,345.64
Stewart,30,0,8,489.48
Sumter,391,32,105,1329.98
Talbot,26,1,11,422.22
Taliaferro,1,0,0,61.27
Tattnall,9,0,1,35.42
Taylor,18,2,8,226.19
Telfair,28,0,4,178.98
Terrell,198,21,34,2338.49
Thomas,239,26,49,537.91
Tift,145,6,38,355.13
Toombs,39,3,9,144.54
Towns,20,1,7,166.2
Treutlen,5,0,0,73.22
Troup,176,5,48,249.95
Turner,74,12,12,916.3
Twiggs,8,0,3,98.94
Union,34,1,10,134.2
Unknown,854,0,41,0
Upson,247,24,25,939.99
Walker,62,0,1,89.07
Walton,148,6,23,154.47
Ware,155,12,40,432.32
Warren,15,0,5,287.91
Washington,53,1,5,261.06
Wayne,13,0,2,43.37
Webster,10,2,5,392.16
Wheeler,5,0,0,63.22
White,86,1,18,270.8
Whitfield,140,6,18,133.75
Wilcox,94,12,15,1069.4
Wilkes,26,0,5,259.64
Wilkinson,40,2,14,448.48
Worth,180,13,33,893.66
